Vendor,Last Audit,Website Link,Vendor Contact,Vendor Contact Email,API functionality for bookings,API included in system costs,API Reporting,Webhooks / Event Triggers,Authentication & Security,Sandbox / Test Environment,W3C standards,WCAG 2.2 level AA,Channel Managers,Current Connections,Marketplace,B2B agent portal,Creation and tracking of affiliate sales,Product information availability,Product Information management and updates,Back Office booking functionality,Customised schedule/availability,Specific Days/Dates bookable,Specific time slots bookable,Manual Slot Management,Seating plans/Allocated seating,Etickets & Scanning,Gift Vouchers,Upselling,Separate merchandise/online store/stock control,Integrated Payment Solution,Payment Solution,Flexible Donations,CRM,E-communications/marketing,Memberships,Verified Reviews,Rule-based Pricing,Resource Management,Waivers,Offline Functionality,Reporting,Reporting - Quantity and Revenue split by source,Reporting Sources,Quantiy and Revenue Reporting Segmentation,Custom Reporting,Custom Reporting Charges,GA4 Tracking,Google Tag Manager,Google Ads,System Licenses,License Cost,Customisation,Website Integration,Website Integration Type,Website Documentation,Onboarding timeframe,Continuing Support,SLA,Business Continuity/Disaster Recovery,Pricing Model,Cloud Infrastructure,Scalability,"Emerging Standards (OCTO, Open Booking Exchange)",Open Data / Extensibility,Culturehost Connection
Accesso,01.01.2025,https://www.accesso.com/,David Jungmann,david.jungmann@accesso.com,Yes,Yes,Yes,,,,Yes,Yes,Yes,"Get Your Guide, Musement, Tiqets, Viator",Yes,Yes,Yes,"Accessibility, Cancellation Policy, Expected Duration, Languages offered, New option, No. of participants min/max., Not suitable/restrictions, Product Description, Product Name, Sustainability, Venue location/Meeting point, What to bring/additional requirements, What's included",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"We provide payments for onsite, ecommerce and pay by link",Yes,Third Party Integration,No,Yes,No,Yes,No,In Development,Yes,Yes,Yes,"Direct/Back Office, GA4 Website Revenue, Website, OTA","Booking Date, Distribution Channel, Product Category (General admission, Guided Tour etc), Ticket Type (Adult, Child, etc), Visit Date",Yes,No,Yes,Yes,No,No,No,Partially customisable,Yes,"Embedded lightframes, iframes, headless API for ecommerce",Configuration and definition documentation available.,5-10 weeks depending on product set,"Dedicated Account Manager, Knowledgebase, Helpdesk",Yes,Yes,Hybrid,Cloud,,,,
Adventure Tech,01.01.2025,https://adventuretech.no/,Julie Anne Kråkenes,julie.anne.kraakenes@adventuretech.no,Yes,Yes,In Development,,,,No,Not Provided,Yes,"Viator, Get Your Guide, TXGB",Yes,Yes,Yes,"Cancellation Policy, Languages offered, Expected Duration, No. of participants min/max., Product Description, Product Name, Venue location/Meeting point",Yes,Yes,Yes,Yes,Yes,Yes,No,In Developmet,Yes,Yes,No,Yes,"Stripe, NETS, checkout and invoice",No,Yes - Built In,No,In Development,No,,Yes,No,No,Yes,Yes,"Direct/Back Office, OTA, Website","Booking Date, Distribution Channel, Visitor Nationality, Ticket Type (Adult, Child, etc), Product Category (General admission, Guided Tour etc), Visit Date",No,N/A,Yes,Yes,No,No,No,Partially customisable,Yes,Web component widgets ,"We have technical and non-technical documentation, online within our confluence. ","Very individual. Some take one week, some can take a month or two. Depending on the complexity on the business we’re onboarding, and if they have special needs.","Helpdesk, Knowledgebase, Dedicated Account Manager, Printed/PDF support guides",Yes,Not Provided,Fee per ticket/booking,Cloud,,,,
AnyRoad,01.01.2025,https://anyroad.com,bryan grobstein,bryan.grobstein@anyroad.com,Yes,Yes,Yes,,,,In development,Not Provided,Yes,"Get Your Guide, OTA Aggregator",No,Yes,Yes,"Accessibility, Cancellation Policy, Expected Duration, Languages offered, New option, No. of participants min/max., Not suitable/restrictions, Product Description, Product Name, Sustainability, What to bring/additional requirements, Venue location/Meeting point, What's included",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Stripe and Adyen ,No,Third Party Integration,No,No,No,In Development,Yes,Yes,Yes,Yes,Yes,"Direct/Back Office, GA4 Website Revenue, OTA, Website","Booking Date, Distribution Channel, Product Category (General admission, Guided Tour etc), Ticket Type (Adult, Child, etc), Visit Date, Visitor Nationality",Yes,No,Yes,Yes,Yes,No,No,Fully customisable,Yes,"Embedded lightframes, iframes",We can provide documentation upon request,2-4 weeks,"Dedicated Account Manager, Helpdesk, Knowledgebase, Printed/PDF support guides, Other (please specify)",Yes,Yes,Hybrid,Cloud,,,,
Beyonk,01.01.2025,https://beyonk.com/,Dean Spencer,dean@beyonk.com,Yes,Yes,Yes,,,,Yes,Not Provided,Yes,"Get Your Guide, Viator",No,Yes,Yes,"Accessibility, Cancellation Policy, Expected Duration, No. of participants min/max., Product Description, Product Name, Venue location/Meeting point, What to bring/additional requirements, What's included",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,In Development,Yes,Stripe ,Yes,Third Party Integration,No,Yes,No,,Yes,Yes,No,Yes,Yes,"Direct/Back Office, GA4 Website Revenue, OTA, Website","Booking Date, Distribution Channel, Product Category (General admission, Guided Tour etc), Ticket Type (Adult, Child, etc), Visit Date",Yes,No,Yes,No,Yes,No,No,Basic - brand colours and images,Yes,"Embedded lightframes, iframes",There are full instructions within our dashboard as well as 1-1 integration support ,1 week,"Dedicated Account Manager, Knowledgebase, Helpdesk",Yes,Not Provided,Fee per ticket/booking,Cloud,,,,
Bike.rent Manager,01.01.2025,https://bikerentalmanager.com/,Jordan Edwards,jordan@bikerentalmanager.com,In Development,No,Yes,,,,No,Not Provided,In Development,,No,Yes,Yes,"Expected Duration, Product Description, Product Name, No. of participants min/max., What's included",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,"Paypal & Stripe for online bookings
Stripe for back office 
Record only also available for back office 
Also POS integrations with Lightspeed & Citrus Lime ",No,Yes - Built In,Yes,No,No,,Yes,Yes,No,Yes,Yes,"Direct/Back Office, OTA, Website","Booking Date, Distribution Channel, Product Category (General admission, Guided Tour etc), Visit Date, Visitor Nationality",No,N/A,Yes,Yes,No,No,No,Partially customisable,Yes,"Embedded lightframes, iframes, Navigate to 3rd Party",We have an extensive knowledge base with several hundred articles and free onboarding support.  ,Between 2 and 10 weeks,"Helpdesk, Knowledgebase",No,Not Provided,Annual Subscription,Cloud,,,,
Bilberry Technologies,01.01.2025,https://www.bilberry.no,Julie Anne Kråkenes,julie.anne.kraakenes@bilberry.no,Yes,Yes,In Development,,,,Yes,Yes,Yes,"Get Your Guide, Viator, TXGB",In Development,Yes,Yes,"Accessibility, Cancellation Policy, Expected Duration, Languages offered, Product Description, Product Name, Venue location/Meeting point, What to bring/additional requirements, What's included",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,,No,In Development,No,Yes,In Development,In Development,Yes,In Development,No,Yes,Yes,"Website, OTA, GA4 Website Revenue, Direct/Back Office","Booking Date, Distribution Channel, Product Category (General admission, Guided Tour etc), Ticket Type (Adult, Child, etc), Visit Date, Visitor Nationality",Yes,No,Yes,Yes,Yes,Yes,No,Basic - brand colours and images,Yes,"Embedded lightframes, iframes","https://bilberry.scrollhelp.site/knowledgebase/connecting-bilberry-to-your-website

Widget Integration:
Widgets are our building blocks: these small integrations can be easily added to your website and connect directly with the calendar and products in our system. This means all information, including prices and descriptions, is automatically updated on your website without the need to make changes in multiple places. It’s a simple copy-and-paste of code into your website. We’ll assist you with the implementation, but it’s very straightforward.",4-8 weeks depending on the competency and dedication from the customer,"Dedicated Account Manager, Helpdesk, Knowledgebase, Printed/PDF support guides",Yes,Yes,Hybrid,Cloud,,,,
Bloowatch,01.01.2025,https://www.bloowatch.com,Olivier Duperray,oduperray@bloowatch.com,Yes,Yes,No,,,,Yes,Not Provided,In Development,,No,In Development,Yes,"Product Name, Venue location/Meeting point, Expected Duration, Product Description",Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,"10 different payment gateways : Strip, Paypal, PayZen, Payplug etc.",No,Yes - Built In,No,In Development,No,,Yes,In Development,Yes,Yes,No,,"Booking Date, Product Category (General admission, Guided Tour etc)",No,N/A,Not Provided,In Development,In Development,No,No,Partially customisable,Yes,"Embedded lightframes, iframes",Help Center articles / contents,2 weeks,"Helpdesk, Dedicated Account Manager, Knowledgebase",No,Not Provided,Annual Subscription,Cloud,,,,
Bókun,01.01.2025,https://www.bokun.io/,Daniel Hadden,dhadden@tripadvisor.com,Yes,Yes,Yes,,,,Yes,No,Yes,"Get Your Guide, Musement, Tiqets, Viator, Civitatis, Expedia, Booknordics.com, DayTrip4U, Headout Inc, Klook, hekla.com, Holibob, Hotelbeds , isango! , Italy Experience srl, Manawa, Project Expedition, Silverscreen Tours, Toristy, TourDesk , TourRadar , Trip.com, Visit RovaniemiNattivus",Yes,Yes,Yes,"Accessibility, Cancellation Policy, Expected Duration, Languages offered, Product Name, Product Description, Venue location/Meeting point, What to bring/additional requirements, What's included, No. of participants min/max., Not suitable/restrictions, New option, Sustainability",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"Braintree (braintreepayments.com)
Stripe (stripe.com)
Plug'n Pay (plugnpay.com)
PayPal (paypal.com)
Trust My Travel (trustmytravel.com)
Rapyd (rapyd.net)
Teya (teya.com)
Central Pay (centralpay.is)
Paytrail (paytrail.com/en)
Nets Easy (nets.eu/payments/online)
GMO (gmo-pg.com)",No,Third Party Integration,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,"Direct/Back Office, OTA, Website, GA4 Website Revenue","Booking Date, Distribution Channel, Product Category (General admission, Guided Tour etc), Visit Date, Ticket Type (Adult, Child, etc), Visitor Nationality",Yes,Yes,Yes,Yes,Yes,No,No,Fully customisable,Yes,"Embedded lightframes, iframes, Navigate to 3rd Party
Bókun API
Channel Manager Integration
Zapier","Bókun provides a variety of documentation for clients regarding web integration and customization. Below are the key resources available:
How to Create Your Own Bókun Website
Advanced Website Upgrade
Editing Website Settings
Activating Your Website
Bookings on Your Website
Related Articles

https://docs.bokun.io/docs/bokun-websites/how-to-create-a-bokun-website-pro#docusaurus_skipToContent_fallback
","On average, the entire onboarding process can take 4 to 6 weeks for a new business, although it can vary depending on how ready the business is and whether they require any advanced customizations or additional features.","Dedicated Account Manager, Helpdesk, Knowledgebase",Yes,Yes,Monthly Subscription,Cloud,,,,
Bookeo,01.01.2025,https://www.bookeo.com/,Giovanna Roncali,giovanna@bookeo.com,Yes,Yes,Yes,,,,In development,Not Provided,Yes,"Get Your Guide, Viator, Expedia, TXGB, Redballoon, Bookeasy, Adrenaline",No,No,Yes,"Accessibility, Expected Duration, Languages offered, New option, No. of participants min/max., Product Description, Product Name",Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,,Yes,Third Party Integration,No,Yes,Yes,Yes,Yes,In Development,No,Yes,Yes,"Direct/Back Office, OTA, Website","Booking Date, Distribution Channel, Product Category (General admission, Guided Tour etc), Ticket Type (Adult, Child, etc), Visit Date, Visitor Nationality",Yes,No,Yes,Yes,Yes,No,Yes,Fully customisable,No,,"For website integration: https://support.bookeo.com/hc/en-us/categories/360001057991-Website-integration

For website builders integration: https://support.bookeo.com/hc/en-us/categories/360001051892-Website-builders-integration

For customization: https://support.bookeo.com/hc/en-us/categories/360001523192-Customer-Interface","it depends on the number of tours, ticket prices, etc. A tour operator with a couple of tours and simple settings can go live in 1 day.","Helpdesk, Knowledgebase",No,Yes,Monthly Subscription,Cloud,,,,
BookingNinja,01.01.2025, https://bookingninja.io,Robert Clarke,rob@bookingninja.io,Yes,No,Yes,,,,Yes,No,No,,No,No,No,Not suitable/restrictions,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,"We use Stripe for all payments, and Stripe accept a huge range of payments including all major credit and debit cards, Apple Pay, Google Pay, Revolut and more.",No,Yes - Built In,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,,"Booking Date, Product Category (General admission, Guided Tour etc), Ticket Type (Adult, Child, etc), Visit Date",No,Yes,No,Yes,No,No,No,Fully customisable,Yes,"Embedded lightframes, iframes, Navigate to 3rd Party","We provide all venues with a booking link they can use on our hosted sites, or the code to use on their own sites.

As this just needs to be copied into a page we provide some basic information but offer live chat support if venues have any issues connecting the form to their sites.","If they are using the off the shelf package, it takes between 1-7 days depending on the size of the business and if they have any data they need to import.","Dedicated Account Manager, Helpdesk, Knowledgebase",Yes,Yes,Monthly Subscription,Cloud,,,,
